,epoch,train_loss,valid_loss,bce
0,0,0.7624196529388427,2.711118221282959,0.67513025
1,1,0.5886542439460755,1.672139048576355,0.5386075
2,2,0.4874434471130371,0.3150085210800171,0.46025747
3,3,0.4101772665977478,0.6610750555992126,0.38795638
4,4,0.34889060258865356,0.31750723719596863,0.3329337
5,5,0.29846274852752686,0.26394110918045044,0.28014094
6,6,0.2537660539150238,0.23038601875305176,0.23643562
7,7,0.217766609787941,0.20025277137756348,0.20109783
8,8,0.1913536250591278,0.18087096512317657,0.18184684
9,9,0.17239724695682526,0.1669711172580719,0.16565397
10,10,0.15737041234970092,0.15537644922733307,0.15941028
11,11,0.14718855619430543,0.14973005652427673,0.1526143
12,12,0.13862251341342927,0.14097058773040771,0.13566148
13,13,0.1315710037946701,0.13750432431697845,0.14243124
14,14,0.12722594290971756,0.126576766371727,0.13371249
15,15,0.12212264835834503,0.1282413750886917,0.113210484
16,16,0.11900291591882706,0.12297890335321426,0.11897288
17,17,0.1159784272313118,0.11697937548160553,0.12244388
18,18,0.11228983700275422,0.11679650843143463,0.10851318
19,19,0.10921496897935867,0.11269446462392807,0.10940032
20,20,0.10811020880937576,0.11400207132101059,0.10332351
21,21,0.10636002272367477,0.1077585443854332,0.111917816
22,22,0.105010387301445,0.11292918026447296,0.10917699
23,23,0.1022444263100624,0.10650306195020676,0.10080474
24,24,0.10134781301021575,0.10890202969312668,0.09836738
25,25,0.10019761919975281,0.11046131700277328,0.101501286
26,26,0.09865151643753052,0.10242535918951035,0.09428101
27,27,0.09775668084621429,0.10668531805276871,0.09959897
28,28,0.09717303663492202,0.1004643589258194,0.10531922
29,29,0.09585449397563935,0.1037508025765419,0.09391193
30,30,0.0948705792427063,0.09868734329938889,0.08869385
31,31,0.09318517595529556,0.09987713396549225,0.10301774
32,32,0.09306218326091767,0.09991543740034103,0.093732536
33,33,0.09198423027992249,0.09811826795339584,0.09120673
34,34,0.09153213649988175,0.09922962635755539,0.08577426
35,35,0.09078455418348312,0.09960202127695084,0.094374225
36,36,0.09036854058504104,0.09714922308921814,0.0960985
37,37,0.0891992598772049,0.09721023589372635,0.083134964
38,38,0.08801306188106536,0.09432774782180786,0.08750537
39,39,0.0888260468840599,0.09483449906110764,0.092567705
40,40,0.08670047968626023,0.0956529900431633,0.09167146
41,41,0.08838033676147461,0.09873326867818832,0.08682792
42,42,0.08728539198637009,0.09521733969449997,0.09183669
43,43,0.08803975731134414,0.09576302021741867,0.08989549
44,44,0.08553897738456726,0.09307463467121124,0.08467671
45,45,0.08660636693239213,0.0957862138748169,0.08761375
46,46,0.08646099716424942,0.09096649289131165,0.08861657
47,47,0.08600826412439347,0.08994760364294052,0.08306717
48,48,0.0846979171037674,0.09191976487636566,0.08226623
49,49,0.08323185741901398,0.08843433111906052,0.07925567
50,50,0.08196491450071335,0.09034412354230881,0.08138247
51,51,0.08095484077930451,0.08892819285392761,0.07675144
52,52,0.08092362135648727,0.08996428549289703,0.07228564
53,53,0.08022014647722245,0.09210480749607086,0.07448824
54,54,0.07906605452299117,0.08999162912368774,0.0837945
55,55,0.07940631657838822,0.09076099842786789,0.08993423
56,56,0.08094972372055054,0.09122585505247116,0.085392684
57,57,0.08053092062473297,0.08789204806089401,0.08022497
58,58,0.07953707873821259,0.0887303277850151,0.0817754
59,59,0.07896270304918289,0.08712968975305557,0.07716765
60,60,0.07754991352558135,0.08974163979291916,0.07534474
61,61,0.07710413187742234,0.08836459368467331,0.07961213
62,62,0.07627846747636795,0.09013054519891739,0.07575693
63,63,0.07858742326498032,0.09120013564825058,0.07696644
64,64,0.07803580015897751,0.08870049566030502,0.08497761
65,65,0.07621421217918396,0.0917719230055809,0.07345255
66,66,0.07622822523117065,0.0881093367934227,0.070985794
67,67,0.07472197115421295,0.08613254874944687,0.07070314
68,68,0.0767894759774208,0.0861668661236763,0.07018109
69,69,0.07539129555225373,0.0871521458029747,0.076061055
70,70,0.07450256198644638,0.08703557401895523,0.0684074
71,71,0.07393413335084915,0.08839883655309677,0.07391235
72,72,0.07320619821548462,0.08840637654066086,0.07572305
73,73,0.0731029212474823,0.08708292990922928,0.0716316
74,74,0.07287689745426178,0.08530844748020172,0.07503323
75,75,0.07222115099430085,0.08769897371530533,0.0726493
76,76,0.07273654043674468,0.08960168808698654,0.07301455
77,77,0.07133632898330688,0.08461544662714005,0.06428905
78,78,0.07107353061437607,0.08685816824436188,0.06412712
79,79,0.07175386995077133,0.09129899740219116,0.070350364
80,80,0.06984425187110901,0.08940332382917404,0.06319772
81,81,0.06941331326961517,0.08752758800983429,0.0655711
82,82,0.07046089172363282,0.08877581357955933,0.063246146
83,83,0.0696123868227005,0.08895385265350342,0.067317
84,84,0.06886113733053208,0.08794044703245163,0.07196979
85,85,0.0696722686290741,0.08615365624427795,0.065617085
86,86,0.06988969594240188,0.08622407168149948,0.07288772
87,87,0.06820642352104186,0.08657985180616379,0.067108214
88,88,0.06821799427270889,0.08950842916965485,0.067959055
89,89,0.06823402643203735,0.08957471698522568,0.065876395
90,90,0.06719053536653519,0.08912808448076248,0.06391594
91,91,0.06689964085817338,0.08881337940692902,0.06558034
92,92,0.06701389774680137,0.09213793277740479,0.07399441
93,93,0.06710815504193306,0.091725654900074,0.06436318
94,94,0.06568507552146911,0.0891113206744194,0.064496264
95,95,0.06549543142318726,0.09207534044981003,0.063253045
96,96,0.06581509858369827,0.09210660308599472,0.06599188
97,97,0.06511549651622772,0.0866798385977745,0.06111467
98,98,0.06423018798232079,0.08778142184019089,0.057957336
99,99,0.06449419185519219,0.08700293302536011,0.06181417
